Publish Date,ADA,BNB,BTC,DOGE,EOS,ETH,IOTA,LTC,NEO,VET,XLM,XMR,XRP
24/09/2020,0.030880645,0.0052,0.091141546,0.28237,0.155238462,0.104644231,0.03104,0.248022222,0.199342105,0.26087,-0.0101,0.1755,0.094855556
25/09/2020,0.071963158,0.114744444,0.139398343,0.234633333,0.00082,0.103472857,0.02195,-0.02054,0.090773684,0.091090909,0,0.176418182,0.07058
26/09/2020,0.141583333,0.089404762,0.071410046,-0.015944444,0.127857143,0.046447482,0,0.062914286,0.167969333,0.229371429,0.1396875,0.079656522,0.032272
27/09/2020,0.255768182,0.08892,0.116331034,0.086205882,0.7003,0.040462222,0.119833333,0.25524,0.050953571,0.12498,0.10212,0.178147619,0.127869231
28/09/2020,0.174025,-0.00922381,0.057229091,0.236007143,0.113466667,0.074385465,0.140472727,0.1314,0.055988636,0.072042857,0.13616,0.145116,0.204706897
29/09/2020,0.17546,0.034395833,0.05914879,0.0372,0.38196,0.06081716,0.1102,0.06186,0.346186364,0.24597,-0.085083333,0.008611111,0.17255
30/09/2020,0.07366087,0.028560606,0.072202954,0.102107692,0.173909091,0.077887222,-0.0043,0.262316667,0.018494737,0.312657143,0.141522222,0.183434483,0.187692308
01/10/2020,0.1348625,-0.061033333,0.103591892,0.057008333,0.218871429,0.053784884,0.136871429,0.060214286,0.174352941,0.2498,-0.005,0.179770968,0.10053
02/10/2020,0.117376667,0.0344125,0.117163519,0.193526667,0.2154625,0.068303205,0.3198,0.15054,0.233093333,0.2553,0.16808,-0.044052381,0.194008696
03/10/2020,0.067173684,0.074671429,0.127501765,0.1291,0.110825,0.081002128,0.2059,0.13392,0.020585714,0.387833333,0.2202,0.082614286,0.085712
04/10/2020,0.06688125,0.10297,0.130768023,0.050575,0.2369,0.079890517,0.408433333,0.2975,-0.051922222,0,0.24745,0.125107692,0.087992308
05/10/2020,0.005740625,0.0885,0.131528175,0.058363636,0.027944444,0.049889308,0.113914286,0.079628571,0.168595833,0,0,0.001696,0.153792683
06/10/2020,0.0301,0.038516667,0.046604962,-0.05089,0.106992857,0.085680226,0.2085,0.104428571,0.119386667,0.320716667,-0.021,-0.073325926,0.052610345
07/10/2020,0.154863333,0.067476471,0.074954393,0.244671429,-0.105890909,0.041277451,-0.083085714,-0.040890909,0.0561125,0.02578,0.04019,-0.005878261,-0.005492593
08/10/2020,0.06309,0.011089474,0.106841961,0.2311,0.286576923,0.09273587,0.146114286,0.123833333,0.012378261,0,0.0558,0.150073077,0.065565
09/10/2020,0.1404625,0.028841379,0.083374315,0.180325,0.0375125,0.114414907,0.108285714,-0.030957143,0.169323077,0.007371429,0.0686,0.0205125,0.03708
10/10/2020,0.13368,0.0443125,0.132675263,0.208255,0.178518182,0.095849123,0.254366667,0.23438,0.457807692,0.21514,-0.026475,0.06799,0.096744444
11/10/2020,0.142654545,0.028446667,0.098187432,0.0588,0.103045455,0.069584677,0.19035,0,0.168158333,0.1221125,0.075433333,0.118108696,0.045616667
12/10/2020,0.072022222,-0.04294878,0.105651383,0.147077778,0.11534375,0.107012183,0,0.150557143,0.26966875,0.0425,0.242283333,-0.04060303,0.070365217
13/10/2020,0.177415789,0.038896,0.070903887,0.4506,0.038711111,0.104973563,0.15704,0.253981818,0.6834,0.23752,0.305916667,0.056385714,0.288525
14/10/2020,0.11539375,0.075070833,0.091796014,0.170583333,0.190542857,0.096184146,-0.239466667,0.03289,0.26505,-0.306455556,0.069388889,0.021857692,0.042106897
15/10/2020,0.16283,0.02635,0.111005859,0.077222222,0.208346667,0.088526437,-0.02915,0.22409,0.335035714,0.057511111,0.114828571,0.122548,0.169477419
16/10/2020,0.13236,0.1147625,0.089173134,0.11748,0.165316667,0.095192073,0.1725,0.1905625,0.364622222,0.255383333,0.310525,0.098348148,0.086977778
17/10/2020,0.1056625,0.09225,0.054183333,0.19860625,0.39475,0.084191346,0.2202,0,0.31932,0.173277778,0.255233333,0.057454348,0.13906
