Unnamed: 0,ADA,BNB,BTC,DOGE,EOS,ETH,IOTA,LTC,NEO,VET,XLM,XMR,XRP,Publish Date,ada,bnb,btc,doge,eos,eth,ltc,miota,neo,vet,xlm,xmr,xrp
,,,,,,,,,,,,,,2020-04-01,26.0,28.0,287.0,27.0,14.0,187.0,12.0,6.0,15.0,11.0,9.0,16.0,24.0
,,,,,,,,,,,,,,2020-04-02,29.0,19.0,297.0,25.0,15.0,168.0,4.0,2.0,10.0,6.0,5.0,24.0,26.0
,,,,,,,,,,,,,,2020-04-03,23.0,24.0,263.0,19.0,9.0,179.0,8.0,8.0,10.0,7.0,7.0,20.0,13.0
,,,,,,,,,,,,,,2020-04-04,19.0,21.0,253.0,18.0,12.0,153.0,8.0,16.0,12.0,5.0,7.0,26.0,26.0
,,,,,,,,,,,,,,2020-04-05,14.0,11.0,217.0,17.0,4.0,133.0,6.0,6.0,7.0,3.0,6.0,25.0,18.0
,,,,,,,,,,,,,,2020-04-06,16.0,11.0,209.0,17.0,11.0,117.0,3.0,8.0,5.0,7.0,2.0,12.0,13.0
,,,,,,,,,,,,,,2020-04-07,19.0,9.0,272.0,18.0,13.0,163.0,10.0,10.0,10.0,3.0,8.0,10.0,12.0
,,,,,,,,,,,,,,2020-04-08,13.0,13.0,265.0,20.0,23.0,155.0,12.0,6.0,21.0,16.0,8.0,17.0,19.0
,,,,,,,,,,,,,,2020-04-09,27.0,13.0,248.0,21.0,16.0,178.0,6.0,5.0,8.0,11.0,9.0,20.0,21.0
,,,,,,,,,,,,,,2020-04-10,26.0,11.0,317.0,17.0,15.0,161.0,4.0,6.0,7.0,12.0,15.0,19.0,23.0
,,,,,,,,,,,,,,2020-04-11,13.0,19.0,295.0,23.0,17.0,128.0,5.0,9.0,4.0,11.0,7.0,21.0,29.0
,,,,,,,,,,,,,,2020-04-12,13.0,16.0,245.0,24.0,12.0,107.0,2.0,12.0,4.0,8.0,7.0,21.0,16.0
,,,,,,,,,,,,,,2020-04-13,16.0,15.0,206.0,21.0,7.0,100.0,2.0,8.0,2.0,2.0,11.0,14.0,11.0
,,,,,,,,,,,,,,2020-04-14,14.0,15.0,281.0,11.0,22.0,149.0,3.0,9.0,5.0,6.0,11.0,16.0,22.0
,,,,,,,,,,,,,,2020-04-15,13.0,27.0,332.0,16.0,12.0,189.0,9.0,5.0,7.0,4.0,16.0,22.0,19.0
,,,,,,,,,,,,,,2020-04-16,18.0,26.0,294.0,15.0,11.0,173.0,7.0,6.0,9.0,12.0,6.0,26.0,32.0
,,,,,,,,,,,,,,2020-04-17,20.0,23.0,316.0,28.0,15.0,190.0,6.0,18.0,9.0,8.0,12.0,31.0,29.0
,,,,,,,,,,,,,,2020-04-18,26.0,23.0,308.0,13.0,10.0,189.0,3.0,8.0,6.0,5.0,7.0,12.0,17.0
,,,,,,,,,,,,,,2020-04-19,18.0,10.0,273.0,24.0,12.0,153.0,5.0,3.0,3.0,3.0,7.0,27.0,15.0
,,,,,,,,,,,,,,2020-04-20,17.0,9.0,277.0,19.0,9.0,143.0,2.0,10.0,4.0,7.0,7.0,28.0,22.0
,,,,,,,,,,,,,,2020-04-21,16.0,10.0,331.0,17.0,10.0,172.0,7.0,10.0,4.0,8.0,14.0,14.0,11.0
,,,,,,,,,,,,,,2020-04-22,17.0,13.0,293.0,20.0,21.0,196.0,6.0,14.0,9.0,5.0,6.0,16.0,37.0
,,,,,,,,,,,,,,2020-04-23,19.0,11.0,303.0,15.0,10.0,188.0,5.0,4.0,13.0,5.0,5.0,11.0,30.0
,,,,,,,,,,,,,,2020-04-24,23.0,13.0,346.0,20.0,16.0,158.0,4.0,8.0,7.0,11.0,5.0,18.0,20.0
,,,,,,,,,,,,,,2020-04-25,37.0,16.0,297.0,15.0,14.0,170.0,7.0,5.0,4.0,8.0,6.0,16.0,17.0
,,,,,,,,,,,,,,2020-04-26,10.0,10.0,258.0,18.0,15.0,133.0,1.0,3.0,7.0,8.0,8.0,20.0,22.0
,,,,,,,,,,,,,,2020-04-27,22.0,24.0,250.0,25.0,9.0,114.0,6.0,8.0,16.0,4.0,7.0,20.0,14.0
,,,,,,,,,,,,,,2020-04-28,28.0,21.0,292.0,25.0,12.0,164.0,5.0,7.0,6.0,7.0,11.0,12.0,25.0
,,,,,,,,,,,,,,2020-04-29,21.0,17.0,324.0,23.0,15.0,198.0,13.0,5.0,11.0,8.0,12.0,23.0,29.0
,,,,,,,,,,,,,,2020-04-30,24.0,27.0,405.0,27.0,19.0,170.0,6.0,7.0,5.0,8.0,12.0,20.0,28.0
,,,,,,,,,,,,,,2020-05-01,29.0,29.0,453.0,26.0,13.0,179.0,4.0,15.0,3.0,6.0,13.0,14.0,27.0
,,,,,,,,,,,,,,2020-05-02,18.0,14.0,339.0,27.0,20.0,146.0,6.0,7.0,5.0,6.0,6.0,14.0,25.0
,,,,,,,,,,,,,,2020-05-03,21.0,32.0,359.0,21.0,8.0,127.0,3.0,7.0,1.0,4.0,10.0,17.0,28.0
,,,,,,,,,,,,,,2020-05-04,28.0,17.0,323.0,26.0,11.0,103.0,14.0,10.0,4.0,3.0,6.0,22.0,20.0
,,,,,,,,,,,,,,2020-05-05,17.0,14.0,348.0,18.0,15.0,162.0,8.0,14.0,4.0,7.0,5.0,20.0,22.0
,,,,,,,,,,,,,,2020-05-06,20.0,17.0,360.0,19.0,15.0,133.0,6.0,10.0,4.0,12.0,9.0,19.0,58.0
,,,,,,,,,,,,,,2020-05-07,24.0,15.0,372.0,19.0,8.0,147.0,4.0,11.0,5.0,12.0,15.0,21.0,28.0
,,,,,,,,,,,,,,2020-05-08,29.0,19.0,482.0,29.0,16.0,180.0,9.0,12.0,2.0,11.0,17.0,17.0,35.0
,,,,,,,,,,,,,,2020-05-09,30.0,19.0,529.0,20.0,16.0,174.0,7.0,12.0,6.0,15.0,10.0,10.0,17.0
,,,,,,,,,,,,,,2020-05-10,16.0,13.0,342.0,18.0,14.0,131.0,3.0,10.0,3.0,7.0,8.0,21.0,17.0
